HOLE_NAME,START_DATE,OIL,WATER,WATER_INJECTION,STEAM_INJECTION
PGKYPWDW-21H1,12/1/2014 0:00,0,0,151.622085,0
PGKYPWDW-21H1,1/1/2015 0:00,0,0,114.755181,0
PGKYPWDW-21H1,2/1/2015 0:00,0,0,96.27297158,0
PGKYPWDW-21H1,3/1/2015 0:00,0,0,98.39071148,0
PGKYPWDW-21H1,4/1/2015 0:00,0,0,89.51575874,0
PGKYPWDW-21H1,5/1/2015 0:00,0,0,76.74507183,0
PGKYPWDW-21H1,6/1/2015 0:00,0,0,57.04277247,0
PGKYPWDW-21H1,7/1/2015 0:00,0,0,74.28456844,0
PGKYPWDW-21H1,8/1/2015 0:00,0,0,51.16217879,0
PGKYPWDW-21H1,9/1/2015 0:00,0,0,68.13236688,0
PGKYPWDW-21H1,10/1/2015 0:00,0,0,67.74952236,0
PGKYPWDW-21H1,11/1/2015 0:00,0,0,71.72303729,0
PGKYPWDW-21H1,12/1/2015 0:00,0,0,68.82385887,0
PGKYPWDW-21H1,1/1/2016 0:00,0,0,52.06046529,0
PGKYPWDW-21H1,2/1/2016 0:00,0,0,69.57066267,0
PGKYPWDW-21H1,3/1/2016 0:00,0,0,61.75766847,0
PGKYPWDW-21H1,4/1/2016 0:00,0,0,63.36623789,0
PGKYPWDW-21H1,5/1/2016 0:00,0,0,71.6501134,0
PGKYPWDW-21H1,6/1/2016 0:00,0,0,55.16731058,0
PGKYPWDW-21H1,7/1/2016 0:00,0,0,31.35307528,0
PGKYPWDW-21H1,8/1/2016 0:00,0,0,7.672899227,0
PGKYPWDW-21H1,9/1/2016 0:00,0,0,8.971217934,0
PGKYPWDW-21H1,10/1/2016 0:00,0,0,32.54614593,0
PGKYPWDW-21H1,11/1/2016 0:00,0,0,52.12968758,0
PGKYPWDW-21H1,12/1/2016 0:00,0,0,39.33419759,0
PGKYPWDW-21H1,1/1/2017 0:00,0,0,38.53488764,0
PGKYPWDW-21H1,2/1/2017 0:00,0,0,82.76960354,0
PGKYPWDW-21H1,3/1/2017 0:00,0,0,85.78852992,0
PGKYPWDW-21H1,4/1/2017 0:00,0,0,100.3381306,0
PGKYPWDW-21H1,5/1/2017 0:00,0,0,78.11240063,0
PGKYPWDW-21H1,6/1/2017 0:00,0,0,73.05608502,0
PGKYPWDW-21H1,7/1/2017 0:00,0,0,67.90173594,0
PGKYPWDW-21H1,8/1/2017 0:00,0,0,81.33045897,0
PGKYPWDW-21H1,9/1/2017 0:00,0,0,70.72799048,0
PGKYPWDW-21H1,10/1/2017 0:00,0,0,60.66277276,0
PGKYPWDW-21H1,11/1/2017 0:00,0,0,35.71139163,0
PGKYPWDW-21H1,12/1/2017 0:00,0,0,3.371875168,0
PGKYPWDW-21H1,1/1/2018 0:00,0,0,7.092172329,0
PGKYPWDW-21H1,2/1/2018 0:00,0,0,6.467733537,0
PGKYPWDW-21H1,3/1/2018 0:00,0,0,11.59735027,0
PGKYPWDW-21H1,4/1/2018 0:00,0,0,11.87046709,0
PGKYPWDW-21H1,5/1/2018 0:00,0,0,14.35961662,0
PGKYPWDW-21H1,6/1/2018 0:00,0,0,2.499075484,0
PGKYPWDW-22H1,1/1/2012 0:00,0,0,184.2784066,0
PGKYPWDW-22H1,2/1/2012 0:00,0,0,180.456563,0
PGKYPWDW-22H1,3/1/2012 0:00,0,0,205.8467134,0
PGKYPWDW-22H1,4/1/2012 0:00,0,0,184.2642603,0
PGKYPWDW-22H1,5/1/2012 0:00,0,0,200.5513027,0
PGKYPWDW-22H1,6/1/2012 0:00,0,0,186.9048926,0
PGKYPWDW-22H1,7/1/2012 0:00,0,0,196.0009275,0
PGKYPWDW-22H1,8/1/2012 0:00,0,0,184.1723097,0
PGKYPWDW-22H1,9/1/2012 0:00,0,0,173.543765,0
PGKYPWDW-22H1,10/1/2012 0:00,0,0,102.8526255,0
PGKYPWDW-22H1,11/1/2012 0:00,0,0,175.8260257,0
PGKYPWDW-22H1,12/1/2012 0:00,0,0,66.56279394,0
PGKYPWDW-22H1,1/1/2013 0:00,0,0,0,0
PGKYPWDW-22H1,2/1/2013 0:00,0,0,0,0
PGKYPWDW-22H1,3/1/2013 0:00,0,0,0,0
PGKYPWDW-22H1,6/1/2016 0:00,0,0,337.484588,0
PGKYPWDW-22H1,8/1/2016 0:00,0,0,13.74779156,0
PGKYPWDW-22H1,10/1/2016 0:00,0,0,15.31095154,0
PGKYPWDW-22H1,11/1/2016 0:00,0,0,130.9517817,0
PGKYPWDW-22H1,12/1/2016 0:00,0,0,19.79814017,0
PGKYPWDW-22H1,1/1/2017 0:00,0,0,0.002121937,0
PGKYPWDW-22H1,2/1/2017 0:00,0,0,2.542221529,0
PGKYPWDW-22H1,3/1/2017 0:00,0,0,2.179417521,0
PGKYPWDW-22H1,4/1/2017 0:00,0,0,32.82843423,0
PGKYPWDW-22H1,5/1/2017 0:00,0,0,0.004715415,0
PGKYPWDW-22H1,6/1/2017 0:00,0,0,0,0
PGKYPWDW-22H1,7/1/2017 0:00,0,0,16.26332385,0
PGKYPWDW-22H1,8/1/2017 0:00,0,0,2.12408213,0
PGKYPWDW-22H1,9/1/2017 0:00,0,0,61.69556646,0
PGKYPWDW-22H1,10/1/2017 0:00,0,0,0,0
PGKYPWDW-22H1,11/1/2017 0:00,0,0,153.073914,0
PGKYPWDW-22H1,12/1/2017 0:00,0,0,122.6149992,0
PGKYPWDW-22H1,1/1/2018 0:00,0,0,154.59058,0
PGKYPWDW-22H1,2/1/2018 0:00,0,0,262.5049202,0
PGKYPWDW-22H1,3/1/2018 0:00,0,0,306.1180737,0
PGKYPWDW-22H1,4/1/2018 0:00,0,0,319.6903576,0
PGKYPWDW-22H1,5/1/2018 0:00,0,0,286.6631215,0
PGKYPWDW-22H1,6/1/2018 0:00,0,0,287.8228777,0
PGKYPWDW-24H1,8/1/2013 0:00,0,0,727.9570218,0
PGKYPWDW-24H1,9/1/2013 0:00,0,0,985.5693221,0
PGKYPWDW-24H1,10/1/2013 0:00,0,0,673.3987542,0
PGKYPWDW-24H1,11/1/2013 0:00,0,0,561.8043864,0
PGKYPWDW-24H1,12/1/2013 0:00,0,0,502.9588638,0
PGKYPWDW-24H1,1/1/2014 0:00,0,0,564.5875892,0
PGKYPWDW-24H1,2/1/2014 0:00,0,0,464.1433147,0
PGKYPWDW-24H1,3/1/2014 0:00,0,0,686.0060756,0
PGKYPWDW-24H1,4/1/2014 0:00,0,0,781.0057673,0
PGKYPWDW-24H1,5/1/2014 0:00,0,0,730.2579084,0
PGKYPWDW-24H1,6/1/2014 0:00,0,0,707.2829698,0
PGKYPWDW-24H1,7/1/2014 0:00,0,0,583.6697173,0
PGKYPWDW-24H1,8/1/2014 0:00,0,0,702.4456616,0
PGKYPWDW-24H1,9/1/2014 0:00,0,0,483.1878844,0
PGKYPWDW-24H1,10/1/2014 0:00,0,0,505.1219895,0
PGKYPWDW-24H1,11/1/2014 0:00,0,0,816.2864765,0
PGKYPWDW-24H1,12/1/2014 0:00,0,0,1000,0
PGKYPWDW-24H1,1/1/2015 0:00,0,0,862.2247539,0
PGKYPWDW-24H1,2/1/2015 0:00,0,0,797.4587451,0
PGKYPWDW-24H1,3/1/2015 0:00,0,0,800.8529714,0
PGKYPWDW-24H1,4/1/2015 0:00,0,0,852.6083022,0
PGKYPWDW-24H1,5/1/2015 0:00,0,0,751.0587108,0
PGKYPWDW-24H1,6/1/2015 0:00,0,0,946.9003988,0
PGKYPWDW-24H1,7/1/2015 0:00,0,0,962.5565187,0
PGKYPWDW-24H1,8/1/2015 0:00,0,0,444.5854484,0
PGKYPWDW-24H1,9/1/2015 0:00,0,0,218.426096,0
PGKYPWDW-25H1,9/1/2015 0:00,0,0,467.5533847,0
PGKYPWDW-25H1,10/1/2015 0:00,0,0,447.8558479,0
PGKYPWDW-25H1,11/1/2015 0:00,0,0,413.3327879,0
PGKYPWDW-25H1,12/1/2015 0:00,0,0,359.7969401,0
PGKYPWDW-25H1,1/1/2016 0:00,0,0,398.5695554,0
PGKYPWDW-25H1,2/1/2016 0:00,0,0,284.6072242,0
PGKYPWDW-25H1,3/1/2016 0:00,0,0,386.0620593,0
PGKYPWDW-25H1,4/1/2016 0:00,0,0,366.9433868,0
PGKYPWDW-25H1,5/1/2016 0:00,0,0,372.4157435,0
PGKYPWDW-25H1,6/1/2016 0:00,0,0,362.7146973,0
PGKYPWDW-25H1,7/1/2016 0:00,0,0,364.7954683,0
PGKYPWDW-25H1,8/1/2016 0:00,0,0,446.2530077,0
PGKYPWDW-25H1,9/1/2016 0:00,0,0,320.6348316,0
PGKYPWDW-25H1,10/1/2016 0:00,0,0,328.7537619,0
PGKYPWDW-25H1,11/1/2016 0:00,0,0,255.2502076,0
PGKYPWDW-25H1,12/1/2016 0:00,0,0,253.3086356,0
PGKYPWDW-25H1,1/1/2017 0:00,0,0,336.3965768,0
PGKYPWDW-25H1,2/1/2017 0:00,0,0,91.73117845,0
PGKYPWDW-25H1,3/1/2017 0:00,0,0,460.5609198,0
PGKYPWDW-25H1,4/1/2017 0:00,0,0,489.3364551,0
PGKYPWDW-25H1,5/1/2017 0:00,0,0,59.71749715,0
PGKYPWDW-25H1,6/1/2017 0:00,0,0,420.7539547,0
PGKYPWDW-25H1,7/1/2017 0:00,0,0,437.3670209,0
PGKYPWDW-25H1,8/1/2017 0:00,0,0,446.4280439,0
PGKYPWDW-25H1,9/1/2017 0:00,0,0,427.7381441,0
PGKYPWDW-25H1,10/1/2017 0:00,0,0,441.1338592,0
PGKYPWDW-25H1,11/1/2017 0:00,0,0,416.0488668,0
PGKYPWDW-25H1,12/1/2017 0:00,0,0,428.515268,0
PGKYPWDW-25H1,1/1/2018 0:00,0,0,453.4265681,0
PGKYPWDW-25H1,2/1/2018 0:00,0,0,390.8644734,0
PGKYPWDW-25H1,3/1/2018 0:00,0,0,459.895952,0
PGKYPWDW-25H1,4/1/2018 0:00,0,0,410.962679,0
PGKYPWDW-25H1,5/1/2018 0:00,0,0,465.7485833,0
PGKYPWDW-25H1,6/1/2018 0:00,0,0,450.120473,0
PGKYPWDW-26H1,8/1/2013 0:00,0,0,641.8056879,0
PGKYPWDW-26H1,9/1/2013 0:00,0,0,447.1510584,0
PGKYPWDW-26H1,10/1/2013 0:00,0,0,594.9072814,0
PGKYPWDW-26H1,11/1/2013 0:00,0,0,552.6696851,0
PGKYPWDW-26H1,12/1/2013 0:00,0,0,631.0581968,0
PGKYPWDW-26H1,1/1/2014 0:00,0,0,722.8757617,0
PGKYPWDW-26H1,2/1/2014 0:00,0,0,586.7976405,0
PGKYPWDW-26H1,3/1/2014 0:00,0,0,740.8398649,0
PGKYPWDW-26H1,4/1/2014 0:00,0,0,675.0590046,0
